player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22224AAAA4,6,50000,39547,4417,6036,0,0,50000
22224AAAA4,7,50000,42174,4399,3427,0,0,50000
22224AAAA4,8,50000,43635,2348,4017,0,0,50000
22224AAAA4,9,50000,45993,1950,2057,0,0,50000
22224AAAA4,K,50000,28679,19577,1744,0,0,50000
222253AAAA,3,50000,37821,6446,5733,0,0,50000
222253AAAA,4,50000,38075,6085,5840,0,0,50000
222253AAAA,5,50000,39805,4365,5830,0,0,50000
222253AAAA,6,50000,38798,6153,5049,0,0,50000
222253AAAA,7,50000,41822,4085,4093,0,0,50000
222253AAAA,8,50000,44029,2355,3616,0,0,50000
222253AAAA,9,50000,45975,2121,1904,0,0,50000
222253AAAA,K,50000,28521,19859,1620,0,0,50000
22225A3AAA,3,50000,37997,6376,5627,0,0,50000
22225A3AAA,4,50000,37952,6266,5782,0,0,50000
22225A3AAA,5,50000,39711,4423,5866,0,0,50000
22225A3AAA,6,50000,38830,6061,5109,0,0,50000
22225A3AAA,7,50000,41674,4249,4077,0,0,50000
22225A3AAA,8,50000,43982,2366,3652,0,0,50000
22225A3AAA,9,50000,45856,2167,1977,0,0,50000
22225A3AAA,K,50000,28396,19978,1626,0,0,50000
22225AA3AA,3,50000,37978,6419,5603,0,0,50000
22225AA3AA,4,50000,38032,6217,5751,0,0,50000
22225AA3AA,5,50000,39632,4537,5831,0,0,50000
22225AA3AA,6,50000,38721,6067,5212,0,0,50000
22225AA3AA,7,50000,41695,4139,4166,0,0,50000
22225AA3AA,8,50000,43934,2440,3626,0,0,50000
22225AA3AA,9,50000,45931,2125,1944,0,0,50000
22225AA3AA,K,50000,28524,19864,1612,0,0,50000
22225AAA3A,3,50000,37980,6321,5699,0,0,50000
22225AAA3A,4,50000,38009,6075,5916,0,0,50000
22225AAA3A,5,50000,39569,4651,5780,0,0,50000
22225AAA3A,6,50000,38913,6023,5064,0,0,50000
22225AAA3A,7,50000,41718,4223,4059,0,0,50000
22225AAA3A,8,50000,43958,2325,3717,0,0,50000
22225AAA3A,9,50000,46067,2101,1832,0,0,50000
22225AAA3A,K,50000,28522,19836,1642,0,0,50000
22225AAAA3,3,50000,37978,6438,5584,0,0,50000
22225AAAA3,4,50000,38156,5980,5864,0,0,50000
22225AAAA3,5,50000,39729,4401,5870,0,0,50000
22225AAAA3,6,50000,38692,6193,5115,0,0,50000
22225AAAA3,7,50000,41851,4173,3976,0,0,50000
22225AAAA3,8,50000,44052,2356,3592,0,0,50000
22225AAAA3,9,50000,45882,2147,1971,0,0,50000
22225AAAA3,K,50000,28536,19834,1630,0,0,50000
2223233AAA,3,50000,38228,6049,5723,1034,139,48827
2223233AAA,4,50000,37674,6308,6018,1065,156,48779
2223233AAA,5,50000,38285,5728,5987,1106,150,48744
2223233AAA,6,50000,37453,6420,6127,1030,158,48812
2223233AAA,7,50000,42076,3452,4472,1120,92,48788
2223233AAA,8,50000,44875,2329,2796,1180,78,48742
2223233AAA,9,50000,44736,3311,1953,1150,56,48794
2223233AAA,K,50000,27402,19737,2861,1151,43,48806
2223233AAA,A,50000,21945,6809,21246,0,0,50000
222323A3AA,3,50000,37971,6173,5856,1069,146,48785
222323A3AA,4,50000,37631,6216,6153,1048,142,48810
222323A3AA,5,50000,38172,5802,6026,1044,140,48816
222323A3AA,6,50000,37479,6316,6205,1072,150,48778
222323A3AA,7,50000,42172,3498,4330,1084,119,48797
222323A3AA,8,50000,44978,2251,2771,1184,57,48759
222323A3AA,9,50000,44698,3335,1967,1161,49,48790
222323A3AA,K,50000,27624,19574,2802,1181,39,48780
222323A3AA,A,50000,22127,6795,21078,0,0,50000
222323AA3A,3,50000,37970,6215,5815,1051,162,48787
222323AA3A,4,50000,37529,6318,6153,1042,145,48813
222323AA3A,5,50000,38143,5826,6031,1069,159,48772
222323AA3A,6,50000,37812,6253,5935,1025,155,48820
222323AA3A,7,50000,42175,3372,4453,1085,120,48795
222323AA3A,8,50000,45011,2311,2678,1133,60,48807
222323AA3A,9,50000,44742,3312,1946,1131,38,48831
222323AA3A,K,50000,27192,20029,2779,1175,41,48784
222323AA3A,A,50000,21806,6874,21320,0,0,50000
222323AAA3,3,50000,38001,6184,5815,1077,129,48794
222323AAA3,4,50000,37664,6318,6018,1075,135,48790
222323AAA3,5,50000,38264,5717,6019,1057,136,48807
222323AAA3,6,50000,37481,6504,6015,1095,139,48766
222323AAA3,7,50000,42149,3411,4440,1146,99,48755
222323AAA3,8,50000,44853,2323,2824,1160,58,48782
222323AAA3,9,50000,44700,3312,1988,1203,48,48749
222323AAA3,K,50000,27318,19878,2804,1224,36,48740
222323AAA3,A,50000,21978,6741,21281,0,0,50000
222323AAAA,3,50000,25488,6462,18050,1103,130,48767
222323AAAA,4,50000,26089,5570,18341,2117,300,47583
222323AAAA,5,50000,27366,4758,17876,2151,287,47562
222323AAAA,6,50000,29942,2859,17199,2150,302,47548
222323AAAA,7,50000,36781,2315,10904,2187,216,47597
222323AAAA,8,50000,20449,21328,8223,2333,138,47529
222323AAAA,9,50000,19469,5062,25469,2288,106,47606
222323AAAA,K,50000,16072,5763,28165,2400,67,47533
222324AAAA,3,50000,31615,6304,12081,0,0,50000
222324AAAA,4,50000,31656,6553,11791,0,0,50000
222324AAAA,5,50000,33176,5483,11341,0,0,50000
222324AAAA,6,50000,32943,5659,11398,0,0,50000
222324AAAA,7,50000,39166,2734,8100,0,0,50000
222324AAAA,8,50000,41599,2361,6040,0,0,50000
222324AAAA,9,50000,24484,21326,4190,0,0,50000
222324AAAA,K,50000,22225,6402,21373,0,0,50000
222325AAAA,3,50000,37934,6366,5700,0,0,50000
222325AAAA,4,50000,38097,6097,5806,0,0,50000
222325AAAA,5,50000,39563,4486,5951,0,0,50000
222325AAAA,6,50000,38846,6184,4970,0,0,50000
222325AAAA,7,50000,41690,4177,4133,0,0,50000
222325AAAA,8,50000,43964,2270,3766,0,0,50000
222325AAAA,9,50000,45999,2051,1950,0,0,50000
222325AAAA,K,50000,28572,19811,1617,0,0,50000
22232A33AA,3,50000,37922,6276,5802,1065,133,48802
22232A33AA,4,50000,37556,6325,6119,1098,143,48759
22232A33AA,5,50000,38273,5727,6000,1072,160,48768
22232A33AA,6,50000,37663,6303,6034,1064,144,48792
22232A33AA,7,50000,42200,3399,4401,1165,110,48725
22232A33AA,8,50000,44879,2315,2806,1118,75,48807
22232A33AA,9,50000,44610,3323,2067,1175,52,48773
22232A33AA,K,50000,27302,19841,2857,1267,36,48697
22232A33AA,A,50000,21984,6715,21301,0,0,50000
22232A3A3A,3,50000,37985,6242,5773,1096,155,48749
22232A3A3A,4,50000,37587,6374,6039,1054,133,48813
22232A3A3A,5,50000,38065,5794,6141,1096,137,48767
22232A3A3A,6,50000,37658,6262,6080,1070,166,48764
22232A3A3A,7,50000,42088,3470,4442,1124,118,48758
22232A3A3A,8,50000,44868,2311,2821,1178,68,48754
22232A3A3A,9,50000,44673,3328,1999,1153,40,48807
22232A3A3A,K,50000,27362,19802,2836,1261,30,48709
22232A3A3A,A,50000,21899,6631,21470,0,0,50000
22232A3AA3,3,50000,38071,6347,5582,1118,140,48742
22232A3AA3,4,50000,37667,6311,6022,1095,151,48754
22232A3AA3,5,50000,38326,5719,5955,1032,162,48806
22232A3AA3,6,50000,37604,6448,5948,1089,159,48752
22232A3AA3,7,50000,42174,3388,4438,1050,96,48854
22232A3AA3,8,50000,44853,2265,2882,1125,62,48813
22232A3AA3,9,50000,44638,3349,2013,1133,49,48818
22232A3AA3,K,50000,27480,19779,2741,1127,57,48816
22232A3AA3,A,50000,21991,6896,21113,0,0,50000
22232A3AAA,3,50000,25494,6421,18085,1067,133,48800
22232A3AAA,4,50000,26011,5687,18302,2245,275,47480
22232A3AAA,5,50000,27316,4863,17821,2147,307,47546
22232A3AAA,6,50000,29863,2855,17282,2061,303,47636
22232A3AAA,7,50000,36580,2352,11068,2179,236,47585
22232A3AAA,8,50000,20333,21489,8178,2307,149,47544
22232A3AAA,9,50000,19263,5127,25610,2416,95,47489
22232A3AAA,K,50000,16244,5777,27979,2413,88,47499
22232A4AAA,3,50000,31844,6173,11983,0,0,50000
22232A4AAA,4,50000,31384,6549,12067,0,0,50000
22232A4AAA,5,50000,33177,5399,11424,0,0,50000
22232A4AAA,6,50000,32967,5584,11449,0,0,50000
22232A4AAA,7,50000,39246,2774,7980,0,0,50000
22232A4AAA,8,50000,41534,2347,6119,0,0,50000
22232A4AAA,9,50000,24396,21535,4069,0,0,50000
22232A4AAA,K,50000,22214,6252,21534,0,0,50000
22232A5AAA,3,50000,37998,6314,5688,0,0,50000
22232A5AAA,4,50000,37942,6204,5854,0,0,50000
22232A5AAA,5,50000,39666,4436,5898,0,0,50000
22232A5AAA,6,50000,38806,6111,5083,0,0,50000
22232A5AAA,7,50000,41771,4159,4070,0,0,50000
22232A5AAA,8,50000,44099,2299,3602,0,0,50000
22232A5AAA,9,50000,45961,2135,1904,0,0,50000
22232A5AAA,K,50000,28553,19838,1609,0,0,50000
22232AA33A,3,50000,37845,6368,5787,1099,149,48752
22232AA33A,4,50000,37689,6275,6036,1076,133,48791
22232AA33A,5,50000,38088,5831,6081,1078,168,48754
22232AA33A,6,50000,37632,6275,6093,1058,149,48793
22232AA33A,7,50000,42186,3388,4426,1092,112,48796
22232AA33A,8,50000,44905,2273,2822,1180,68,48752
22232AA33A,9,50000,44618,3393,1989,1195,53,48752
22232AA33A,K,50000,27522,19647,2831,1204,34,48762
22232AA33A,A,50000,21875,6942,21183,0,0,50000
22232AA3A3,3,50000,38129,6152,5719,1072,136,48792
22232AA3A3,4,50000,37752,6264,5984,1028,145,48827
22232AA3A3,5,50000,38122,5812,6066,1043,131,48826
22232AA3A3,6,50000,37428,6418,6154,1004,164,48832
22232AA3A3,7,50000,42203,3445,4352,1091,135,48774
22232AA3A3,8,50000,44962,2227,2811,1162,74,48764
22232AA3A3,9,50000,44714,3309,1977,1150,57,48793
22232AA3A3,K,50000,27430,19686,2884,1123,38,48839
22232AA3A3,A,50000,21594,6881,21525,0,0,50000
22232AA3AA,3,50000,25593,6391,18016,1100,120,48780
22232AA3AA,4,50000,26004,5689,18307,2112,290,47598
22232AA3AA,5,50000,27258,4982,17760,2163,291,47546
22232AA3AA,6,50000,29848,2746,17406,2188,299,47513
22232AA3AA,7,50000,36745,2330,10925,2183,241,47576
22232AA3AA,8,50000,20611,21154,8235,2302,133,47565
22232AA3AA,9,50000,19323,5083,25594,2328,90,47582
22232AA3AA,K,50000,16315,5741,27944,2350,113,47537
22232AA4AA,3,50000,31941,6227,11832,0,0,50000
22232AA4AA,4,50000,31723,6501,11776,0,0,50000
22232AA4AA,5,50000,33105,5564,11331,0,0,50000
22232AA4AA,6,50000,32708,5802,11490,0,0,50000
